time(ms),power(W)
1746082800000,3772698
1746082920000,3066061
1746083040000,3795792
1746083160000,3784733
1746083280000,2838563
1746083400000,2245584
1746083520000,3822928
1746083640000,2971001
1746083760000,3021434
1746083880000,3848598
1746084000000,3889043
1746084120000,3826242
1746084240000,2473686
1746084360000,3837148
1746084480000,3008493
1746084600000,3824598
1746084720000,3846086
1746084840000,2496553
1746084960000,3780243
1746085080000,3793844
1746085200000,3803945
1746085320000,3829269
1746085440000,3764567
1746085560000,3774822
1746085680000,2135340
1746085800000,3951511
1746085920000,3812197
1746086040000,2938370
1746086160000,3810907
1746086280000,3867863
1746086400000,3830146
1746086520000,3776568
1746086640000,3765353
1746086760000,3767272
1746086880000,3761405
1746087000000,2874164
1746087120000,3725239
1746087240000,3733791
1746087360000,3737769
1746087480000,3808610
1746087600000,2986183
1746087720000,2890310
1746087840000,3743688
1746087960000,2842263
1746088080000,3859315
1746088200000,3714873
1746088320000,3894267
1746088440000,3820655
1746088560000,2909960
1746088680000,3767053
1746088800000,3775852
1746088920000,3782012
1746089040000,3835547
1746089160000,2008983
1746089280000,2683017
1746089400000,3609200
1746089520000,3628460
1746089640000,3770922
1746089760000,3683279
1746089880000,2774542
1746090000000,3656833
1746090120000,3740248
1746090240000,3752928
1746090360000,3674517
1746090480000,3711267
1746090600000,3726672
1746090720000,3720560
1746090840000,3713103
1746090960000,3784313
1746091080000,3736036
1746091200000,2819377
1746091320000,2912502
1746091440000,3775378
1746091560000,3841570
1746091680000,2473935
1746091800000,3690195
1746091920000,3711760
1746092040000,2631444
1746092160000,3715810
1746092280000,3749613
1746092400000,2949429
1746092520000,3651501
1746092640000,2766564
1746092760000,3679251
1746092880000,3664510
1746093000000,3549965
1746093120000,2733188
1746093240000,2379760
1746093360000,2793105
1746093480000,3575239
1746093600000,3606060
1746093720000,3594928
1746093840000,2768915
1746093960000,1650991
1746094080000,3620854
1746094200000,3607182
1746094320000,3705833
1746094440000,3656806
1746094560000,1759497
1746094680000,2767350
1746094800000,3653844
1746094920000,3666654
1746095040000,3853204
1746095160000,3033042
1746095280000,3705210
1746095400000,2749073
1746095520000,2929418
1746095640000,3624013
1746095760000,3589104
1746095880000,3680333
1746096000000,3673051
1746096120000,3730950
1746096240000,2918726
1746096360000,3696343
1746096480000,3702809
1746096600000,3598187
1746096720000,3614443
1746096840000,2364259
1746096960000,3607920
1746097080000,3648175
1746097200000,3767057
1746097320000,3674116
1746097440000,1481852
1746097560000,3707845
1746097680000,3770655
1746097800000,3674987
1746097920000,2992093
1746098040000,3063897
1746098160000,2929638
1746098280000,3736842
1746098400000,2421046
1746098520000,2363461
1746098640000,3658541
1746098760000,2861417
1746098880000,3728373
1746099000000,3676139
1746099120000,3700181
1746099240000,3677246
1746099360000,2437391
1746099480000,3897470
1746099600000,3762021
1746099720000,673560
1746099840000,3691280
1746099960000,3731967
1746100080000,3789514
1746100200000,3769037
1746100320000,3685618
1746100440000,2973381
1746100560000,3801459
1746100680000,3846000
1746100800000,3031707
1746100920000,3802552
1746101040000,3822296
1746101160000,3763980
1746101280000,3710112
